description,name,image,number
"Fun, funky and functional, the Amara Collection will provide your home with interesting conversation pieces and a look that is as unique as you are. With the turn of a crank, the adjustable table (6414) can be raised or lowered to suit your individual needs. Black iron is complimented by the bold red and white hued design of the âAtellier Loftâ print that appears on the dining tabletop and carries its theme to the caster supported cocktail table (6409) â paired with our tractor seat adjustable iron barstool (6412), you will have created the creative focal point for your dining space.",Amara Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/6411__1-750x500.jpg,6411
 ,Daria Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/3224N-17__1-333x500.jpg,3224N-17
 ,Daria Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/3224N-16__1-333x500.jpg,3224N-16
"The elegant modified hourglass shape of the Lila Collection stands out in a crowd. Vertical rods gather and descend to create the conical shape of this frosted glass-topped accent table. The chrome finish adds a clean, modern look to the design.",Lila Collection ,https://www.homelegance.com/wp-content/uploads/2014/04/4662__1-333x500.jpg,4662
Woven metal rods intertwine to create an elegant nest that supports the frosted glass tabletop of the Zara Collection. An elegant chrome finish adds to the allure of this accent table.,Zara Collection ,https://www.homelegance.com/wp-content/uploads/2014/04/4663__1-333x500.jpg,4663
"Adding a touch of glamour to your home is the Reverie Collection. Black bi-cast vinyl covers this stylish ottoman. The attached top opens to reveal ample storage space. Polished nailhead accent trim encircles the base of the unit, providing a sophisticated touch.",Reverie Collection ,https://www.homelegance.com/wp-content/uploads/2014/04/4602PU__1-750x500.jpg,4602PU
"With a clean transitional style, the functional storage ottoman of the Tigard Collection will provide the extra storage or seating space that your home needs. The track-style side supports buffer the tufted lift top of the unit, which opens to reveal the storage space below. When closed, the unit can function as additional seating or as an occasional piece. Covered in a fashionable brown bi-cast vinyl, makes this unit a perfect fit in many home decors.",Tigard Collection ,https://www.homelegance.com/wp-content/uploads/2014/04/4603PU__1-750x500.jpg,4603PU
"Fun, funky and functional, the Amara Collection will provide your home with interesting conversation pieces and a look that is as unique as you are. With the turn of a crank, the adjustable table (6414) can be raised or lowered to suit your individual needs. Black iron is complimented by the bold red and white hued design of the âAtellier Loftâ print that appears on the dining tabletop and carries its theme to the caster supported cocktail table (6409) â paired with our tractor seat adjustable iron barstool (6412), you will have created the creative focal point for your dining space.",Iron Cocktail Table with Casters Amara Collection ,https://www.homelegance.com/wp-content/uploads/2014/04/6409__1__6409_Iron_Cocktail_Table_____with_Casters-750x500.jpg,6409
"Providing a multifunctional addition to your casual living space is the Baine Collection. Contemporary in styling, this lift-top ottoman features lower drawer storage and black bi-cast vinyl covering with contrast stitching.",Baine Collection ,https://www.homelegance.com/wp-content/uploads/2014/04/4503PU__1-750x500.jpg,4503PU
"The need for additional storage space in your modern home will be met with the Synergy Collection. The two segments of this ottoman serve equally as storage space, yet two different functional tops define each of their roles. With the first section, an airlift mechanism lifts the seat to reveal storage below. The second section is a fully extended lift top that not only reveals storage space, but will bring the seat top towards you for those times when you need an extra table surface. This padded ottoman is covered in dark brown bi-cast vinyl with white contrast stitching.",Synergy Collection ,https://www.homelegance.com/wp-content/uploads/2014/04/4727PU__1-750x500.jpg,4727PU
Functional cocktail ottoman with casters features storage and seating that reverse to reveal up to four individual serving trays.,Kaitlyn Collection ,https://www.homelegance.com/wp-content/uploads/2014/04/468CP__1-750x500.jpg,468CP
"Streamlined for versatile placement in transitional or contemporary homes, the Barnaby Collection provides the perfect accent for your living room. Scaled for smaller spaces, this three pack occasional offering includes a cocktail table and two end tables. A classic oak finish completes the look.",Barnaby Collection ,https://www.homelegance.com/wp-content/uploads/2014/04/3489-31__1-750x500.jpg,3489-31
"With a scale appropriate for any number of cozy living rooms, the Tempe Collection will provide the look and style you want in your home. The transitional feel of the group comes from the richly hued faux marble table top and the minimalistic design of this three pack occasional group. The tables are constructed of metal with a black finish.",Tempe Collection ,https://www.homelegance.com/wp-content/uploads/2014/04/2601-31__1-750x500.jpg,2601-31
"Convenient, stylish storage space will be added to your home with the dark brown bi-cast vinyl upholstered Blasey Collection. When turned over, the comfortable ottoman bench seating reveals a functional service tray and removable seating cubes.",Blasey Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,4738PU
"Moving through your living space with the greatest of ease is the Fleming Collection. Situated on casters, the multi-functional ottoman features display storage and defined quad seating that, when turned over, can be used as serving trays.", ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,4732PU
The wedge shape of the Elwell chair-side table allows for placement in the smallest of spaces while still providing ample space for a small table lamp or accessory display.,Elwell Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,4728AK
The wedge shape of the Elwell chair-side table allows for placement in the smallest of spaces while still providing ample space for a small table lamp or accessory display.,Elwell Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,4728BK
The wedge shape of the Elwell chair-side table allows for placement in the smallest of spaces while still providing ample space for a small table lamp or accessory display.,Elwell Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,4728ES
Functional cocktail ottoman features storage and seating that reverses to reveal 4 individual serving trays.,Kaitlyn Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,468PU
"This functional two-seat storage ottoman reverses to reveal 2 individual serving trays and 2 cleverly stored stools. Covered in dark brown bi-cast vinyl, this look is also offered in mottled brown polished microfiber.",Claire Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,469PU
