description,name,image,number
"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes â burnished brown cherry, white, black, and the newly offered stained grey â with all of the traditional flare unique to the style â antiqued metal bale hardware and distinct framing â this collection is a perfect addition to your traditional adult or youth bedroom.",Mayville Collection ,https://www.homelegance.com/wp-content/uploads/2015/10/2147SG-1__1-750x500.jpg,2147SG
"Versatile placement options, while utilizing minimum space makes the Potrero Collection the right choice for your home. Three styles, each offered in a single cover are available â Grey fabric with vertical channel seaming, black bi-cast vinyl with x-stitch pattern and brown fabric with square pattern.",Potrero Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/2024-1HB__1-750x500.jpg,2024
"Versatile placement options, while utilizing minimum space makes the Potrero Collection the right choice for your home. Three styles, each offered in a single cover are available â Grey fabric with vertical channel seaming, black bi-cast vinyl with x-stitch pattern and brown fabric with square pattern.",Potrero Collection ,https://www.homelegance.com/wp-content/uploads/2015/03/1831P-1__1-750x500.jpg,1831P
"Refined elegance is exemplified in the design of the Marston Collection. Blending classic design elements to create a warm and welcoming bedroom. Each piece in the collection features turned feet and high polished oval bale pull and knob hardware. The neutral toned fabric inserts of the headboard and the padded footboard rail feature nailhead accent. Drawer storage features prominently on the footboard, offering that extra functional space that you need. The classic dark cherry finish further lends to the modern traditional look of the Marston Collection.",Marston Collection ,https://www.homelegance.com/wp-content/uploads/2015/03/2615DC-1__1-750x500.jpg,2615DC
"An updated look to the grandeur of Old World Europe is flawlessly executed in the Orleans II Collection. Acanthus leaf carvings feature prominently and blend with elegantly appointed moldings on each piece of this stately bedroom. Wreath accents lend dramatic flair to the bed and mirror as does the sculpted lionâs foot base, supporting each of the case pieces. Heavy pilasters rise with and are topped with carved finials on the neutral-toned, linen accented headboard and footboard. The washed white and weathered brown two-tone finish lends to the unique styling of this elegant bedroom collection.",Orleans II Collection ,https://www.homelegance.com/wp-content/uploads/2015/03/2168WW-1__1-750x500.jpg,2168WW
"When looking to furnish your traditional home, you choose pieces that are timeless. The classic look of the cherry finished Mont Belvieu Collection will allow you to fulfill your design desire. Pairing the panel bed of the collection with the traditional look of Louis Philippe styling, instantly creates a classic look to your bedroom. Carved finials and squared pilasters provide traditional accent to the bed as does the shell and scroll motif of the headboard and footboard that carries over to the collectionâs mirror.",Mont Belvieu Collection ,https://www.homelegance.com/wp-content/uploads/2016/05/1869-1_hp-750x500.jpg,1869
"A rolled and tufted headboard provides elegant touches to the casual Baldwyn Collection. Offered in black bi-cast vinyl and charcoal fabric, this bed offers not only flexible placement, but the opportunity to style the room to fit your needs.",Baldwyn Collection ,https://www.homelegance.com/wp-content/uploads/2015/03/5789N-1__1-750x500.jpg,5789N
"A rolled and tufted headboard provides elegant touches to the casual Baldwyn Collection. Offered in black bi-cast vinyl and charcoal fabric, this bed offers not only flexible placement, but the opportunity to style the room to fit your needs.",Baldwyn Collection ,https://www.homelegance.com/wp-content/uploads/2015/03/5789BK-1__1-750x500.jpg,5789BK
"At home in a number of room settings, the Chasin Collection is styled to fit your needs. With an unfettered design in a neutral grey tone fabric, the bed will be the perfect platform for your decorative dreams to become reality.",Chasin Collection ,https://www.homelegance.com/wp-content/uploads/2015/03/1896N-1__1-750x500.jpg,1896N
"Sophisticated in its simplicity, the Chardon Collection will help to create the bedroom sanctuary of your dreams. The mansion style headboard features winged sides that provide an understated traditional touch to the modern deep gray fabric-covered selection. Tufting on the headboard and nailhead accent on the footboard further the trendy look of this bed.",Chardon Collection ,https://www.homelegance.com/wp-content/uploads/2015/03/1894N-1__1-750x500.jpg,1894N
"The unique design of the Thain Collection will serve as the focal point in your newly re-designed bedroom. The clipped base styling of the headboard provides an almost geometric look to the bed. Button accents feature prominently on the headboard and footboard, while the dark grey fabric covering provides the final statement for this bold bed offering.",Thain Collection ,https://www.homelegance.com/wp-content/uploads/2015/03/1891N-1__1-750x500.jpg,1891N
"Offered in dark grey fabric, the Cadmus Collection tufting headboard will provide you with a versatile option for your contemporary home.",Cadmus Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/1890N-1__1-750x500.jpg,1890N
"Designed for your modern home, the DeLeon Collection allows for your creativity and space allowance to create the room of your dreams. Serving as the canvas of your bedroom makeover, the dark brown bi-cast vinyl bed features a low-profile footboard and a dramatic diamond stitch pattern that adorns the headboard. Let your creativity flow with the addition of the DeLeon Collection.",Deleon Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/1881PU-1__1-750x500.jpg,1881PU
"The elaborate designs of Old World Europe are treated with a distinct modern touch in the Florentina Collection. The eye-catching jewel tufting of the headboard reflects with a brilliance intended to accentuate the dusky taupe coloring of the faux silk and the rich silver â with gold undertone- finish of the wood veneer. Bombe case goods present their distinct shape as a unique focal point in your elegant bedroom. With details such as shell and acanthus leaf scrolling, carved cabriole feet and delicately designed knob hardware, the traditional look of the collection is solidified.",Florentina Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/1867__1-750x500.jpg,1867
"Your bedroom reflects your personal style â bold with an eye for trend forward design, the Marceline Collection achieves your desired look. The striking grey finish of the collection features hand rub-through distressing for a subtle weathered look. Geometric molding provides a distinct contrast to the traditionally framed case goods. Substantially sized turned legs enhance the look of the oversized case pieces and mansion headboard.",Marceline Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/1866__1-750x500.jpg,1866
Clean lines and unfettered design lend to the versatile contemporary styling of the Cullen Collection. The bed features dark brown vinyl padded inserts with a single accenting button. Each case piece in the collection is punctuated with silver finished knob hardware. The brown cherry finish further makes this modern group a versatile choice for placement in a number of bedroom looks.,Cullen Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/1855-1__1-750x500.jpg,1855
"With an intricate design lending to the modern look of the Porter Collection, your bedroom will reflect your taste for sophisticated contemporary living. A warm walnut finish and the look of woven detailing highlight the natural wood grain of the veneer on each piece of the collection. Knob hardware blends effortlessly to create an unobtrusive accent to the case goods. The bed features framing on the headboard and low-profile footboard that subtly incorporates the prominent woven design.",Porter Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/1852-1__11-750x500.jpg,1852
"Adding a bold touch of glamour to your boudoir is the Alonza Collection. Finished in a brilliant white, the embossed alligator board is reflected in the inlay mirrors of the bed and case pieces. The newly available back-lit LED headboard and mirror illuminate with a delicate touch, creating a dazzling glow. Turned feet provide a distinct departure from the linear design of the collection, adding a distinctly feminine flair. Drawer pulls add to the allure of the collection with an inlay crystal and chrome look.",Alonza Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/1845-1__1-750x500.jpg,1845
"Glitz and glamour have been captured perfectly in the design of the Hedy Collection. Over-sized silver finished knob hardware features prominently on each case pieces while the vertical, channel padded, bi-cast vinyl inserts of the headboard are featured in a graphite grey and contrast elegantly against the silver finish and distinct mirrored framing. The cool silver finish features subtle reflective highlights adding a hint of sparkle to this unique collection.",Hedy Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/1839-1__1-750x500.jpg,1839
"Modern traditional styling is utilized in the Faust Collection, making it the perfect addition to your bedroom. Traditional bun feet support each piece in the collection while the dark cherry finish further lends to the look. Dark brown bi-cast vinyl padded inserts on the headboard feature nailhead accent, while the drawer unit of the footboard provides additional storage space.Â  Round, antiqued bronze finished knob hardware adorns each drawer front.",Faust Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1834
"Providing a bold look with distinct accent and traditional shape, the Cranfills Collection will transform your bedroom. Enlarged crocodile embossing immediately draws your eye to the side paneling of the case goods and the framed headboard of the panel bed. With the pull of a handle the illusion of multiple drawers is transformed to reveal the unique fronts of the amply appointed functional storage. Additional space to store your personal items comes in the form of the storage footboard and the auxiliary master chest. The cherry finish completes the look of the Cranfills Collection.",Cranfills Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1832-1__1-750x500.jpg,1832
"Modern elegance takes form in the Chambord Collection. Immediately catching your eye is the striking champagne gold finish, an opulent mix of silver and gold hues, elegantly accented by the faux silk fabric and gold brushed hardware that is featured on select pieces of the collection.Â  The serpentine-fronted case pieces are adorned with canted pilasters featuring overlay fretwork, scalloped bases and a delicately splayed cabriole leg. Further lending to the lavish look of the collection is the faux silk rolled, button-tufted bed. The low profile footboard allows for an unrestricted view of the magnificent headboard.",Chambord Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1828
"Traditional design and cottage styling intersect in the Floresville Collection. The antique white finish is accented by the dark cherry tops of the case goods, creating a two-tone look that proves to be eye catching. Turned finials perch atop the round pilaster supports of the platform bed while simultaneously drawing attention to the distinct shape and louvered accent of the headboard. Classic case goods are supported by turned feet and feature cup and knob hardware.",Floresville Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1821
"Ultra-contemporary in design and scale, the Linnea Collection will add modern flair to your bedroom. Finished in high-gloss white, each piece of the suite is accented with chrome finished feet for the ultimate sturdy in contrast. The headboard features a white bi-cast vinyl padded insert that is flanked by flat panel framing. Each case piece is highlighted with elongated, chrome-finished hardware.",Linnea Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/1811W-1__1-750x500.jpg,1811W
"The Palace II Collection exemplifies the rest of Old World Europe. With egg and dart base moldings, rope twists under case tops and on bed posts, acanthus and tobacco leaf carvings, florets and inset blue stone marble tops, the Palace II Collection has it all. These many exquisite details married with a rich weathered white with light rub-through on cherry veneers combine to create and ideal European environment worthy of the nobles of yesteryear and the discriminating homeowner of today. The bonded leather, button-tufted, insert on the headboard is featured in an elegant pearl, providing a trendy take on the Old World feel of this collection.",Palace II Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/1394N-1__11-750x500.jpg,1394N
"With a design as sweet as the name implies, the Clementine Collection will be a bright and classic addition for your bedroom sanctuary. Wooden knob hardware stands boldly against the double bow fronted case goods while the additional decorative accents of framed bead-board paneling and scalloped base carry over to the design of the turned post headboard and footboard - further enhancing the classic look of this lovely bedroom. The Clementine Collection is offered in youth as well.",Clementine Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1799
"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes â burnished brown cherry, white, black, and the newly offered stained grey â with all of the traditional flare unique to the style â antiqued metal bale hardware and distinct framing â this collection is a perfect addition to your traditional adult or youth bedroom.",Mayville Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/2147W-1__1-750x500.jpg,2147W
"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes â burnished brown cherry, white, black, and the newly offered stained grey â with all of the traditional flare unique to the style â antiqued metal bale hardware and distinct framing â this collection is a perfect addition to your traditional adult or youth bedroom.",Mayville Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/2147BK-1__1-750x500.jpg,2147BK
"With hints of modern, industrial and country styling and nod to trend driven design, the Bernal Heights Collection will be a stylish addition to your home. Cup pull hardware is featured prominently on each case piece while nailhead accents serve to enhance the neutral toned fabric headboard. A warm cherry finish rounds out the look of the Bernal Heights Collection.",Bernal Heights Collection ,https://www.homelegance.com/wp-content/uploads/2015/02/1810-1__11-750x500.jpg,1810
A deep espresso finish and horizontal slats accents this contemporary daybed offering. Link spring or pop up trundle sold separately.,Emma Collection ,https://www.homelegance.com/wp-content/uploads/2014/03/815BKPU-1__1-750x500.jpg,815BKPU
"A study in modern design and trend forward thinking, the addition of the Lavinia Collection to your home will display your personal preference for contemporary styling. A weathered grey finish has been utilized to enhance the wood veneer of each piece in the collection. Creating a focal design point are the finger pulls that replace the need for hardware on the sleekly designed case pieces â a design feature that carry onto the panel headboard.",Lavinia Collection ,https://www.homelegance.com/wp-content/uploads/2014/03/1806-1__1-750x500.jpg,1806
"Glamour reigns supreme in the Jacqueline Collection.Faux alligator veneers are covered in black finish that is highlighted by the mirrored drawer fronts, while crystal button-tufting graces the cased pieces and headboard reflecting not only the light, but your personal style. With white bi-cast vinyl headboard, you can be assured that your personality is well represented.",Jacqueline Collection ,https://www.homelegance.com/wp-content/uploads/2014/03/2299W-1-750x500.jpg,2299W
"Walking into the bedroom that is occupied by the Deryn Park Collection immediately displays your love of the traditional aesthetic. Stately from every angle, sophisticated design elements blend to create this beautiful collection. With two bed options â A graceful sleigh bed or stately poster bedâ the collection allows you the flexibility to fit the scale of your bedroom and the design to accommodate your personal style. Design elements include burl inlay, traditional bale and knob hardware, claw feet and shell motifs. The cherry finish is highlighted by gold tipping that accentuates the traditional feel of elegant Deryn Park Collection.",Deryn Park Collection ,https://www.homelegance.com/wp-content/uploads/2014/03/2243SL-1__1-750x500.jpg,2243SL
"Walking into the bedroom that is occupied by the Deryn Park Collection immediately displays your love of the traditional aesthetic. Stately from every angle, sophisticated design elements blend to create this beautiful collection. With two bed options â A graceful sleigh bed or stately poster bedâ the collection allows you the flexibility to fit the scale of your bedroom and the design to accommodate your personal style. Design elements include burl inlay, traditional bale and knob hardware, claw feet and shell motifs. The cherry finish is highlighted by gold tipping that accentuates the traditional feel of elegant Deryn Park Collection.",Deryn Park Collection ,https://www.homelegance.com/wp-content/uploads/2014/03/2243-1__1-750x500.jpg,2243
"The Copley Collection features clean contemporary design that will complement any home d cor. With economical and environmental concerns in mind, the night stand, dresser and mirror are conveniently packed in one carton. Chest and additional night stands are also available. The Copley Collection showcases a wide beveled wood frame with satin nickel hardware accented in espresso finish on select hardwoods and veneers. To offer more flexibility, it offers three headboard options: wood sleigh headboard, panel headboard with white bi-case vinyl inserts, and fully upholstered dark brown bi-cast vinyl headboard.",Copley Collection ,https://www.homelegance.com/wp-content/uploads/2013/04/815TPU-1__1-750x500.jpg,815TPU
"Traditionally styled bedrooms require a sense of grandeur, and the Hillcrest Manor Collection meets the requirement fully. The grandly scaled case goods feature framed marble tops with hints of the rich natural tones of brown and cream. Acanthus leaf carvings along with egg and dart molding, beaded molding, pull and knob antiqued hardware, and a rich cherry finish further the traditional style. Full extension drawer glides add convenience to the collection.",Hillcrest Manor Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,2169SL
"The grandeur of Old World Europe is flawlessly executed in the Orleans Collection. Acanthus leaf carvings feature prominently and blend with elegantly appointed moldings on each piece of this stately bedroom. Wreath accents lend dramatic flair to the bed and mirror as does the sculpted lionâs foot base, supporting each of the case pieces. Heavy pilasters rise with and are topped with carved finials on the tufted dark brown bonded leather headboard and footboard. A rich cherry finish with gold tipping completes the formal feel of the Orleans Collection.",Orleans Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,2168
"A classic addition to your transitional bedroom will be the Cumberland Collection. Traditional accents such as, the bun foot that supports each piece and rich medium brown finish on birch veneer, and selected hardwood blend with framing and lines that compliment your personal style. Hidden drawer storages in the night stand and dresser are a clever way to hide your valuables. The newly offered twin and full beds allow for placement that compliments both youth and modestly scaled spaces.",Cumberland Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,2159
Sophistication merges with elegant lines and classic shapes in the Inglewood II Collection. The boldly designed lines of the traditional breakfront posts of the panel bed lend an air of casual elegance. Wood and metal drawer pulls accent the traditional case pieces. Inglewood II Collection is presented in an antique white finish with cherry finish case goodsâ top.,Inglewood II Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1402W
Complimenting the clean design of your home is the Kari Collection. Straight lines dominate the design of this transitional suite. The headboard features distinct framing that is carried throughout the design of the case pieces-each accented with subtle knob hardware. The warm brown cherry finish compliments a number of design schemes allowing for flexible placement in any of your homeâs bedrooms.,Kari Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,2146
"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes â burnished brown cherry, white, black, and the newly offered stained grey â with all of the traditional flare unique to the style â antiqued metal bale hardware and distinct framing â this collection is a perfect addition to your traditional adult or youth bedroom.",Mayville Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,2147
"Enhancing the contemporary design of your bedroom is the focus of the Edina Collection. The espresso-hinted cherry finish builds on the unexaggerated lines of this bedroom suite, blended with the tufted bi-cast vinyl inserts on the headboard and the polished nickel finishedÂ hardware, culminates to achieve the modern look. Whether it is a hard contemporary or a softer transitional feel, your dÃ©cor design options are wide open with this classic bedroom collection.",Edina Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,2145
"Taking the expected design elements of hard contemporary and putting a decidedly feminine curve into the mix makes the Lyric Collection a unique addition to your new bedroom design. With each curve comes a new twist â satin nickel hardware accents the glossy white or dark espresso finish, bow-front case pieces feature ball bearing drawer glides and compliment the padded sleigh headboard & footboard, while a round, contemporary mirror reflects the modern designs that you have selected. A final unique addition to the collection is the glass-topped night stand that furthers the contemporary feel.",Lyric Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1737NC
"The Karla Collection takes the refined features of classic lines and creates a modern update of traditional design. Clipped corners and routed pilasters blend the classic lines of the top and base moldings while the antiqued bronze finish hardware, featuring an elegant garland motif with drop ring pull, further accent each case piece. Book-matched veneer accents the headboard and footboard creating a focal point for the collection. Cherry and birch veneers are accentuated in a luxurious brown cherry finish that further exemplifies the traditional feel of this set. Also offering platform bed with footboard storages.",Karla Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1740PL
"Understated elegance flows effortlessly through the gentle curves of the Kasler Collection. The medium walnut finish on walnut veneers is the first break with contemporary tradition that this unexpected gem makes. Bent wood drawer-fronts, accented with polished graphite grey hardware, create graceful curves that carry from each case piece to the bold slope of the bed rails. Sleigh headboard and lowprofile footboard lend to the contemporary European feel of the collection.",Kasler Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,2135
The best of traditional style has been carefully assembled to create your ultimate bedroom suite. The Townsford Collection features unique turnings on the headboard and footboard posts with classic scalloped framing rounding out the bed design. Antiqued pewter hardware accents each case piece as does the bun feet that provide support. The rich dark cherry finish on cherry veneer further compliments this elegantly understated offering.,Townsford Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,2124
"As breezy as a day at the beach, the modern cottage styling of the Sanibel Collection will meld effortlessly with your casual personal style. Diamond overlay curves throughout the entire collection - capping the headboard then carrying on to the gracefully bowed case pieces. The versatility of the design lends to the perfect placement in a master suite, guest or child s bedroom. The collection is offered in Black or White.",Sanibel Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,2119BK
"As breezy as a day at the beach, the modern cottage styling of the Sanibel Collection will meld effortlessly with your casual personal style. Diamond overlay curves throughout the entire collection â capping the headboard then carrying on to the gracefully bowed case pieces. The versatility of the design lends to the perfect placement in a master suite, guest or childâs bedroom. The collection is offered in black or white.",Sanibel Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,2119W
"Clean contemporary design is the inspiration for the Beaumont Collection. Achieving the desired design of your home will require pieces that allow for your taste to shine. Contemporary route lines give way to rounded pilasters on the case pieces, while carrying over to the framed bed. Satin nickel hardware follows the lines of each case piece. Cherry veneers and the high pressure laminate tops are finished in a medium brown cherry.",Beaumont Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,2111
"Taking the expected design elements of hard contemporary and putting a decidedly feminine curve into the mix makes the Lyric Collection a unique addition to your new bedroom design. With each curve comes a new twist - satin nickel hardware accents the glossy white finish, bow-front case pieces feature ball bearing drawer glides and compliment the padded sleigh headboard & footboard, while a round, contemporary mirror reflects the modern designs that you have selected. A final, unique, addition to the collection is the glass topped night stand that furthers the contemporary feel.",Lyric Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1737W
"An updated take on classic country style, the Langston Collection blends effortlessly into your cozy bedroom. Cannonball finials top  the bedposts, while distinct framing adds to the classic design of the bed. Metal knob and bale hardware adorn each case piece, as do rounded pilasters. Further completing the collection is the rich burnished pine finish.",Langston Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1746
The Avelar Collection features a unique bed in dark brown bi-cast vinyl that acts as a perfect match to any contemporary case pieces.,Avelar Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,2100
"The Karla Collection takes the refined features of classic lines and creates a modern update of traditional design. Clipped corners and routed pilasters blend the classic lines of the top and base moldings while the antiqued bronze finish hardware, featuring an elegant garland motif with drop ring pull, further accent each case piece. Book-matched veneer accents the headboard and footboard creating a focal point for the collection. Cherry and birch veneers are accentuated in a luxurious brown cherry finish that further exemplifies the traditional feel of this set. Also offering platform bed with footboard storages.",Karla Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1740
"Appropriate for a number of bedroom designs, the Verano Collection is the perfect permanent canvas for your ever-evolving personal style. The rich espresso finish is delicately accented with discrete brushed nickel knob hardware and stylish framing that carries from the bed to the mirror in this modern transitional set. The pull-out tray on the nightstand provides additional space for your bedside needs.",Verano Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1733
"Make a statement in your bedroom with the Zoey Collection platform bed. This dramatic bed is covered with dark brown bi-cast vinyl, matching night stand is also available.",Zoey Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,5790
"The Copley Collection features clean contemporary design that will complement any home d  cor. With economical and environmental concerns in mind, the night stand, dresser and mirror are conveniently packed in one carton. Chest and additional night stands are also available. The Copley Collection showcases a wide beveled wood frame with satin nickel hardware accented in espresso finish on select hardwoods and veneers. To offer more flexibility, it offers three headboard options: wood sleigh headboard, panel headboard with white bi-case vinyl inserts, and fully upholstered dark brown bi-cast vinyl headboard.",Copley Collection ,https://www.homelegance.com/wp-content/uploads/2014/04/815-1__1-750x500.jpg,815
"The Copley Collection features clean contemporary design that will complement any home d  cor. With economical and environmental concerns in mind, the night stand, dresser and mirror are conveniently packed in one carton. Chest and additional night stands are also available. The Copley Collection showcases a wide beveled wood frame with satin nickel hardware accented in espresso finish on select hardwoods and veneers. To offer more flexibility, it offers three headboard options: wood sleigh headboard, panel headboard with white bi-case vinyl inserts, and fully upholstered dark brown bi-cast vinyl headboard.",Copley Collection ,https://www.homelegance.com/wp-content/uploads/2014/04/815PU-1__1-750x500.jpg,815PU
The warmth of cottage living is invoked by the classic styling of the adult and youth Morelle Collection. The low post bed features picture framing and round finials with the case pieces featuring molded drawer fronts and knob hardware. The newly offered cherry finish offers an additional option to the classic black and white finishes that are currently available.,Morelle Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1356W
The warmth of cottage living is invoked by the classic styling of the adult and youth Morelle Collection. The low post bed features picture framing and round finials with the case pieces featuring molded drawer fronts and knob hardware. The newly offered cherry finish offers an additional option to the classic black and white finishes that are currently available.,Morelle Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1356BK
"Classic in design and bold in style, the Aris Collection makes for an inviting presence in your bedroom. Large bun feet serve to support the massive yet elegantly simple case pieces, while the warm brown cherry finish on select hardwoods and veneers completes the overall look.",Aris Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1422
The beauty of the Glamour Collection lies in the simple lines and style. The panel headboard and footboard feature a metal grid pattern to give your bedroom suite an added touch of characteristic. Cherry veneers and select hardwoods in espresso finish with bold hardware accent give the Glamour Collection a desired look to your home decor.,Glamour Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1349
"Trendy and modern, the Astrid Collection adds flair to any contemporary bedroom. Bold solid hardwood arched legs support the platform bed, this collection exudes the attitude that defines todayâs style. Available in espresso finish with black bi-cast vinyl insert headboard.",Astrid Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1313
 ,Madaleine Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1385
"Create an air of bold elegance in your home with the Legacy Collection. Heavy headboard and mirror crowns are accented with dramatic acanthus and tobacco leaf carvings. The headboard, footboard and mirror feature book matched cherry veneers further enhanced by the warm cognac finish. To ensure that elegance is the evident in every piece, the pilasters on the dresser, chest and night stand as well as mirror and bed posts feature fluting capped with additional leaf carvings. Antiqued brass hardware completes the look of this stylish collection and further enhances the beauty of the cherry veneers. Create your own lasting legacy with the Legacy Collection.",Legacy Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,866NC
"European Elegance at its best. Flowing lines, detailed carvings, beautiful veneer treatments and grand scale are some of the many design elements of our Prenzo Collection.  The collection is inspired by the grand estates of the Tuscan region of Italy where a casual yet elegant lifestyle is best experienced. Carving is softened with a warm brown finish on beautiful cherry and ash burl veneers, further accented with burnishing and light distressing. The Prenzo Collection will add an air of magnificence to your home while still allowing for today's more casually refined lifestyle.",Prenzo Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1390LP
"The Palace Collection exemplifies the rest of Old World Europe. With egg and dart base moldings, rope twists under case tops and on bed posts, acanthus and tobacco leaf carvings, florets and inset marble tops, the Palace Collection has it all. These many exquisite details married with a rich brown finish on cherry veneers with golden highlights combine to create and ideal European environment worthy of the nobles of yesteryear and the discriminating homeowner of today. Bring Europe home with the Palace Collection.",Palace Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1394
"European Elegance at its best. Flowing lines, detailed carvings, beautiful veneer treatments and grand scale are some of the many design elements of our Prenzo Collection.  The collection is inspired by the grand estates of the Tuscan region of Italy where a casual yet elegant lifestyle is best experienced. Carving is softened with a warm brown finish on beautiful cherry and ash burl veneers, further accented with burnishing and light distressing. The Prenzo Collection will add an air of magnificence to your home while still allowing for today's more casually refined lifestyle.",Prenzo Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1390
"Sophistication merges with elegant lines and classic shapes in the Inglewood Collection. Available in three bed options: traditional sleigh bed with rails storages, low profile bed, and panel bed with breakfront posts. Classic round metal drawer pulls accent the traditional case pieces. Inglewood Collection is presented in a deep cherry finish and features two mirror options to complement each bed â swivel or rectangular stationary mirror.",Inglewood Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1402
"Sophistication merges with elegant lines and classic shapes in the Inglewood Collection. Available in three bed options: traditional sleigh bed with rails storages, low profile bed, and panel bed with breakfront posts. Classic round metal drawer pulls accent the traditional case pieces. Inglewood Collection is presented in a deep cherry finish and features two mirror options to complement each bed â swivel or rectangular stationary mirror.",Inglewood Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1402LP
"Sophistication merges with elegant lines and classic shapes in the Inglewood Collection. Available in three bed options: traditional sleigh bed with rails storages, low profile bed, and panel bed with breakfront posts. Classic round metal drawer pulls accent the traditional case pieces. Inglewood Collection is presented in a deep cherry finish and features two mirror options to complement each bed â swivel or rectangular stationary mirror.",Inglewood Collection ,https://www.homelegance.com/wp-content/themes/h2/images/misc/shim.gif,1402SL
 ,Sedley Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/5415RF-FBH__1-750x500.jpg,5415RF
"Covered in a neutral tone brown fabric, nail head accent and featuring a gently curved headboard, the Kase Collection will be the perfect addition to your modern traditional bedroom.",Kase Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1888N-1HB__1-750x500.jpg,1888N
"Drawing inspiration from traditional Danish modern design, the neutral grey tone of the Wade Collection lends to the contemporary feel. The low-profile bed features a button-tufted shelter headboard.",Wade Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1883N-1HB__1-750x500.jpg,1883N
"The modern traditional styling of the Bryndle Collection is characterized by the button-tufted headboard and footboard, as well as the nail head accenting on headboard. Further complimenting the design is the dark grey fabric that covers.",Bryndle Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1882N-1HB__1-750x500.jpg,1882N
 , ,https://www.homelegance.com/wp-content/uploads/2016/03/DRACK-QN__1-750x500.jpg,DRACK
